IDENTIFICADOR,MUNICIPIO,LOCALIDAD,DENOMINACIÓN,Término de búsqueda,FECHA DECLARACIÓN BIC,PROTECCIÓN DEL BIEN: CATEGORÍA DE PROTECCIÓN,CLASIFICACIÓN TIPOLÓGICA: Tipología
48,Ávila,Ávila,Palacio de los Abrante,Palacio de los Abrante de Ávila; Palacio de los Dávila en Ávila,1991-08-01,Monumento,Patrimonio arquitectónico
49,Ávila,Ávila,Palacio de los Águila,Palacio de los Águila,1991-08-29,Monumento,Patrimonio arquitectónico
50,Ávila,Ávila,Palacio de los Almarza,Palacio de los Almarza,1992-11-26,Monumento,Patrimonio arquitectónico
51,Ávila,Ávila,Palacio de los Serrano,Palacio de los Serrano,2022-07-21,Monumento,Patrimonio arquitectónico
52,Ávila,Ávila,Palacio de los Superunda,Palacio de Superunda; Palacio de Superunda-Colección Caprotti,1992-12-23,Monumento,Patrimonio arquitectónico
53,Ávila,Ávila,Palacio de los Verdugo,Palacio de los Verdugo,1991-08-29,Monumento,Patrimonio arquitectónico
54,Ávila,Ávila,Palacio de Polentinos,"Palacio de Polentinos; Palacio de Polentinos, Academia de Intendencia",1999-12-17,Monumento,Patrimonio arquitectónico
55,Ávila,Ávila,Palacio de Santa Cruz o Bracamonte,Palacio de Bracamonte de Ávila,1978-12-07,Monumento,Patrimonio arquitectónico
56,Ávila,Ávila,Puente sobre el río Adaja,Puente sobre el río Adaja; puente romano sobre el río Adaja en Ávila; puente del Adaja en Ávila,2023-07-06,Monumento,Patrimonio arquitectónico
57,Ávila,Ávila,Real Monasterio de Santa Ana,Real Monasterio de Santa Ana de Ávila,1982-01-15,Monumento,Patrimonio arquitectónico
58,Ávila,Ávila,Torreón de los Guzmanes,Torreón de los Guzmanes,1991-09-26,Monumento,Patrimonio arquitectónico
59,Ávila,Ávila,Antiguas tenerías del arrabal de San Segundo,Antiguas tenerías del arrabal de San Segundo; tenerías de San Segundo; las tenerías; tenerías de San Segundo de Ávila,2010-06-24,Zona Arqueológica,Patrimonio arqueológico
60,Ávila,Bernuy-Salinero,Dolmen del Prado de las Cruces,Dolmen del Prado de las Cruces,1995-08-31,Zona Arqueológica,Patrimonio arqueológico
61,Barco de Ávila (El),Barco de Ávila (El),La Villa,La villa de Barco de Ávila; Conjunto histórico artístico de Barco de Ávila,2017-11-02,Conjunto histórico,Conjunto de bienes
62,Barco de Ávila (El),Barco de Ávila (El),Castillo de Valdecorneja,Castillo de Valdecorneja,1949-04-22,Castillos,Patrimonio arquitectónico
63,Barco de Ávila (El),Barco de Ávila (El),Muralla de El Barco de Ávila,Muralla de El Barco de Ávila,1949-04-22,Castillos,Patrimonio arquitectónico
64,Barco de Ávila (El),Barco de Ávila (El),Iglesia Mayor de la Asunción de Nuestra Señora,Iglesia Mayor de la Asunción de Nuestra Señora de Barco de Ávila,1931-06-03,Monumento,Patrimonio arquitectónico
65,Becedas,Becedas,Iglesia de la Inmaculada Concepción,Iglesia de la Inmaculada Concepción de Becedas,1983-02-23,Monumento,Patrimonio arquitectónico
66,Bonilla de la Sierra,Bonilla de la Sierra,El pueblo,Conjunto histórico artístico de Bonilla de la Sierra,1983-05-04,Conjunto histórico,Conjunto de bienes
67,Bonilla de la Sierra,Bonilla de la Sierra,Castillo de Bonilla de la Sierra,Castillo de Bonilla de la Sierra,1949-04-22,Castillos,Patrimonio arquitectónico
68,Bonilla de la Sierra,Bonilla de la Sierra,Rollo,Rollo de Bonilla de la Sierra,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
69,Bonilla de la Sierra,Bonilla de la Sierra,Iglesia de San Martín ,Iglesia de San Martín de Bonilla de la Sierra,1931-06-03,Monumento,Patrimonio arquitectónico
70,Burgohondo,Burgohondo,Abadía Iglesia de Nuestra Señora de la Asunción,Abadía Iglesia de Nuestra Señora de la Asunción de Burgohondo,1983-06-22,Monumento,Patrimonio arquitectónico
71,Cabezas del Villar,Cabezas del Villar,Castillo de Zurraquín,Castillo de Zurraquín,1949-04-22,Castillos,Patrimonio arquitectónico
72,Cabezas del Villar,Cabezas del Villar,Iglesia de San Juan Bautista,Iglesia de San Juan Bautista de Cabezas del Villar,1999-04-15,Monumento,Patrimonio arquitectónico
73,Candeleda,Candeleda,Rollo de justicia,Rollo de justicia de Candeleda,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
74,Candeleda,Candeleda,Iglesia de Nuestra Señora de la Asunción,Iglesia de Nuestra Señora de la Asunción de Candeleda,1991-10-24,Monumento,Patrimonio arquitectónico
75,Candeleda,Raso (El),Risco de la Zorrera,Risco de la Zorrera,1985-06-25,Arte ruprestre,Patrimonio arqueológico
76,Candeleda,Raso (El),Castro del Raso,Castro del Raso,1994-04-07,Zona Arqueológica,Patrimonio arqueológico
77,Cardeñosa ,Cardeñosa ,Rollo de justicia,Rollo de justicia de Cardeñosa,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
78,Cardeñosa ,Cardeñosa ,Despoblado de las Cogotas,Castro de Las Cogotas,2009-04-30,Zona Arqueológica,Patrimonio arqueológico
79,Cebreros,Cebreros,El Calorzo,Pinturas rupestres de El Calorzo,1985-06-25,Arte ruprestre,Patrimonio arqueológico
80,Cebreros,Cebreros,Rollo de justicia,Rollo de justicia de Cebreros,1963-03-14,Rollos de justicia,Patrimonio arquitectónico
